shop_id,recency,frequency,monetary,avg_price,std_price,min_price,max_price,unique_items,unique_categories,customer_lifetime,cluster
39,1.0,13440.0,15012388.966012986,1116.993226637871,2237.6799046901165,0.5,32990.0,4096,56,609,1
40,79.75,4257.0,4080156.32,958.458144233028,777.6601963310486,0.5,17991.0,817,26,334,0
41,1.0,41967.0,38283700.491037734,912.2334331984115,1766.1515437333348,0.1,32199.0,7227,60,1033,1
42,1.0,109253.0,101551476.9728774,929.507445771534,1778.7788264162793,0.1,42990.0,12034,62,1033,1
43,79.75,39282.0,42751502.78511706,1088.3229668834852,1995.1431376509681,0.1,29000.0,6737,57,752,1
44,1.0,39530.0,29419582.06118644,744.2343046088146,1509.0651553859093,0.1,30990.0,8894,62,1032,1
45,1.0,35891.0,33778798.81564852,941.1495588211117,1781.193526592744,0.1,30790.0,7303,59,1032,1
46,1.0,66321.0,60934691.48983323,918.7842687811286,1757.525323900674,0.1,31990.0,9149,60,1033,1
47,1.0,56695.0,62805222.23007663,1107.773564336831,1942.5372845565898,0.1,32990.0,7912,60,1032,1
48,1.0,21612.0,24298218.997164074,1124.292938976683,2175.050443410358,0.5,32199.0,4063,52,554,1
49,1.0,15849.0,18338237.204523835,1157.05957502201,2231.4663669585666,0.5,32990.0,3786,54,675,1
50,1.0,65173.0,63356951.985280335,972.1349636395491,1875.7570112158855,0.1,32990.0,9176,59,1032,1
51,34.0,44433.0,21855590.1,491.8774356896901,1241.6445040011572,3.0,26226.0,8739,56,1000,1
52,1.0,43502.0,37649122.96175882,865.4572884409641,1793.600664407067,0.1,31990.0,8416,61,1032,1
53,1.0,52921.0,47928860.90197071,905.668088319773,1750.9381270110482,0.1,32990.0,7455,60,1032,1
54,79.75,114771.875,109669430.19037944,764.3534303762158,1429.01946913492,0.1,32990.0,13863,59,842,1
55,1.0,34769.0,21135859.830663208,607.8938085841758,833.9046861550571,4.0,27900.0,1985,12,913,0
56,1.0,69573.0,51696380.36846399,743.0523388162649,1544.768269460906,0.1,32990.0,11049,63,1032,1
57,1.0,114771.875,91315213.03045239,777.627252703379,1611.7714905674425,0.1,34990.0,12281,61,974,1
58,1.0,71441.0,58463438.25344069,818.3457433888201,1711.2361981497788,0.07,32990.0,8393,58,974,1
59,1.0,42108.0,37264789.50717935,884.9812270157536,1815.4466202685803,0.1,32997.5,7336,60,1032,1
